TIPO_REC,P001,P002,P003,P007X,P008,NPRIN,P042_01,P042_03,P042_04,P043,P044_01
06,01,01,02,00100,0023,2939158,2,10,2108,2,0.25
06,01,01,02,00100,0024,2939157,1,9,2614,2,0.25
06,01,01,02,00100,0025,2939156,1,12,2614,2,0.25
06,01,01,02,00100,0026,2939150,1,7,2614,2,0.2
06,01,01,02,00100,0027,2939134,1,12,2614,2,0.5
06,01,01,02,00100,0027,2939134,2,12,2611,2,0.2
06,01,01,02,00100,0027,2939134,3,10,2108,2,0.5
06,01,01,02,00100,0028,2939135,1,8,2614,2,0.25
06,01,01,02,00100,0028,2939135,2,3,2401,2,0.25
06,01,01,02,00100,0030,2939149,1,4,2501,2,0.01
06,01,01,02,00100,0031,2939148,1,8,2609,2,0.13
06,01,01,02,00100,0031,2939148,2,11,2608,2,0.2
06,01,01,02,00100,0032,2939140,1,9,2108,2,0.5
06,01,01,02,00100,0033,2939142,1,9,2614,2,0.1
06,01,01,02,00100,0034,2939141,1,8,2108,2,0.1
06,01,01,02,00100,0035,2939146,1,4,2614,2,0.5
06,01,01,02,00100,0035,2939146,2,1,2609,2,1.0
06,01,01,02,00100,0036,2939147,1,4,2614,2,0.25
06,01,01,02,00100,0036,2939147,2,10,2609,2,0.25
06,01,01,02,00100,0038,2939143,1,3,2501,2,0.3
06,01,01,02,00100,0039,2939145,1,8,2614,2,0.02
06,01,01,02,00100,0040,2939151,1,2,2614,2,0.25
06,01,01,02,00100,0041,2939152,1,10,2614,2,0.5
06,01,01,02,00100,0042,2939153,1,10,2611,2,0.2
06,01,01,02,00100,0043,2939154,1,9,2606,2,0.15
06,01,01,02,00100,0043,2939154,2,10,2608,1,0.15
06,01,01,02,00100,0044,2939155,1,9,2108,2,0.1
06,01,01,02,00100,0045,2939131,1,8,2608,2,0.2
06,01,01,02,00100,0045,2939131,2,9,2609,2,0.3
06,01,01,02,00100,0046,2939137,1,2,2501,2,0.5
06,01,01,02,00100,0046,2939137,2,12,2108,2,0.5
06,01,01,02,00100,0047,2939124,1,9,2614,2,0.13
06,01,01,02,00100,0047,2939124,2,9,2108,2,0.25
06,01,01,02,00100,0052,2939014,1,9,2108,2,0.15
06,01,01,02,00100,0052,2939014,2,1,2602,2,0.1
06,01,01,02,00100,0054,3365202,1,2,2614,2,0.3
06,01,01,02,00100,0054,3365202,2,10,2108,2,0.5
06,01,01,02,00100,0055,2939129,1,2,2614,2,0.13
06,01,01,02,00100,0055,2939129,2,5,2609,2,0.12
06,01,01,02,00100,0056,2939139,1,6,2612,2,0.13
06,01,01,02,00100,0056,2939139,2,10,2108,2,0.12
06,01,01,02,00100,0057,3365210,1,12,2609,2,0.25
06,01,01,02,00100,0058,2939132,1,3,2611,2,0.3
